Designator,Mid X,Mid Y,Rotation,Layer
C1,60.946202,-86.995084,270.0,top
C10,60.708952,-79.655084,0.0,top
C11,51.46,-86.71,270.0,top
C12,58.915184,-83.436834,0.0,top
C13,56.375184,-74.419834,0.0,top
C14,45.087952,-80.544084,180.0,top
C15,51.02,-73.5,135.0,top
C16,57.660952,-86.132084,270.0,top
C17,56.136952,-86.132084,270.0,top
C18,79.38,-75.2,90.0,top
C19,191.39,-67.88,0.0,top
C2,68.991202,-83.975084,90.0,top
C3,65.931202,-76.175084,270.0,top
C4,58.915184,-82.420834,0.0,top
C5,60.708952,-78.131084,0.0,top
C6,45.087952,-82.068084,180.0,top
C7,41.262184,-73.940084,180.0,top
C8,41.516184,-80.642834,0.0,top
C9,62.146202,-86.995084,90.0,top
D1,65.161202,-87.525084,0.0,top
D2,189.7,-79.2,0.0,top
D3,44.8,-91.0,90.0,top
J4,192.825,-58.12,90.0,top
R10,68.35,-66.46,90.0,top
R11,45.087952,-78.512084,0.0,top
R29,68.45,-75.69,0.0,top
R30,67.38,-67.43,90.0,top
R31,193.4,-64.5,180.0,top
R32,34.5,-45.825,270.0,top
R33,34.5,-49.825,270.0,top
R34,53.5,-47.0,270.0,top
R35,53.5,-42.675,270.0,top
R36,71.0,-52.825,270.0,top
R37,71.0,-48.325,270.0,top
R38,83.5,-67.5,270.0,top
R39,83.5,-63.0,270.0,top
R4,46.72,-90.62,270.0,top
R40,82.0,-37.675,270.0,top
R41,82.0,-33.0,270.0,top
R42,110.5,-55.5,270.0,top
R43,110.5,-50.25,270.0,top
R44,125.0,-68.5,270.0,top
R45,125.0,-63.5,270.0,top
R46,126.0,-38.0,270.0,top
R47,126.0,-33.0,270.0,top
R48,137.0,-53.5,270.0,top
R49,137.0,-48.5,270.0,top
R5,57.966202,-90.105084,180.0,top
R50,148.5,-29.5,270.0,top
R51,148.5,-24.5,270.0,top
R52,155.0,-47.5,270.0,top
R53,155.0,-42.5,270.0,top
R54,172.0,-31.25,270.0,top
R55,172.0,-26.5,270.0,top
R56,173.5,-50.0,270.0,top
R57,173.5,-44.75,270.0,top
R58,76.0,-108.175,270.0,top
R59,76.0,-103.5,270.0,top
R6,57.966202,-91.645084,0.0,top
R60,90.5,-119.825,270.0,top
R61,90.5,-115.0,270.0,top
R62,113.5,-100.5,270.0,top
R63,113.5,-96.5,270.0,top
R64,128.5,-89.0,270.0,top
R65,128.5,-84.325,270.0,top
R66,117.0,-119.675,270.0,top
R67,117.0,-115.5,270.0,top
R68,132.0,-108.0,270.0,top
R69,132.0,-103.0,270.0,top
R7,45.641202,-85.575084,90.0,top
R70,146.5,-96.0,270.0,top
R71,146.5,-91.5,270.0,top
R8,64.431202,-80.085084,180.0,top
R9,64.431202,-81.615084,180.0,top
SW1,73.071202,-68.685084,180.0,top
SW10,131.664795,-34.998954,0.0,top
SW11,153.918524,-26.2103,0.0,top
SW12,177.472295,-28.436076,0.0,top
SW13,130.349783,-65.117687,0.0,top
SW14,142.562747,-50.562843,0.0,top
SW15,160.416907,-44.06446,0.0,top
SW16,179.128254,-47.363775,0.0,top
SW17,119.548702,-98.619304,0.0,top
SW18,134.103546,-86.40634,0.0,top
SW19,122.848017,-117.330652,0.0,top
SW2,87.432609,-34.998954,0.0,top
SW20,137.402862,-105.117687,0.0,top
SW21,151.957706,-92.904723,0.0,top
SW22,191.045,-73.025,90.0,top
SW3,40.0,-47.363775,0.0,top
SW4,58.680497,-44.06446,0.0,top
SW5,76.534657,-50.562843,0.0,top
SW6,88.747621,-65.117687,0.0,top
SW7,81.694542,-105.117687,0.0,top
SW8,96.249387,-117.330652,0.0,top
SW9,115.794938,-52.904723,0.0,top
U1,66.751202,-84.427584,90.0,top
U10,64.45,-42.5,0.0,top
U11,64.45,-46.15,0.0,top
U12,81.95,-48.65,0.0,top
U13,81.95,-52.65,0.0,top
U14,94.5,-63.5,0.0,top
U15,94.5,-67.0,0.0,top
U16,93.05,-33.35,0.0,top
U17,93.05,-37.15,0.0,top
U18,121.0,-51.0,0.0,top
U19,121.0,-55.5,0.0,top
U2,109.548753,-78.28851,180.0,top
U20,136.0,-63.15,0.0,top
U21,136.05,-67.15,0.0,top
U22,136.95,-33.15,0.0,top
U23,136.95,-37.5,0.0,top
U24,147.95,-48.65,0.0,top
U25,147.95,-53.0,0.0,top
U26,159.45,-24.15,0.0,top
U27,159.45,-28.5,0.0,top
U28,166.05,-42.35,0.0,top
U29,166.05,-46.15,0.0,top
U3,52.676202,-79.655084,270.0,top
U30,182.95,-26.5,0.0,top
U31,182.95,-30.75,0.0,top
U32,184.7,-45.1,0.0,top
U33,184.7,-49.5,0.0,top
U34,87.0,-103.5,0.0,top
U35,87.0,-107.5,0.0,top
U36,101.55,-115.65,0.0,top
U37,101.55,-119.5,0.0,top
U38,124.95,-96.85,0.0,top
U39,125.0,-101.0,0.0,top
U4,64.021202,-70.525084,270.0,top
U40,139.5,-84.5,0.0,top
U41,139.5,-88.65,0.0,top
U42,128.45,-115.15,0.0,top
U43,128.5,-119.5,0.0,top
U44,142.95,-103.15,0.0,top
U45,143.0,-107.15,0.0,top
U46,157.5,-91.0,0.0,top
U47,157.45,-95.15,0.0,top
U5,187.9625,-65.15,90.0,top
U6,190.5625,-65.15,90.0,top
U7,74.1,-77.595,0.0,top
U8,45.5,-46.0,0.0,top
U9,45.5,-49.5,0.0,top
Y1,41.531952,-77.369084,90.0,top
